,,booking_id.jan,amount.jan,room_night.jan,booking_id.feb,amount.feb,room_night.feb,booking_id.march,amount.march,room_night.feb
333,75870,2.0,4567.0,1 days 00:00:00.000000000,,,,1.0,2079.0,
334,75928,2.0,4688.0,,,,,,,
335,75950,1.0,2079.0,1 days 00:00:00.000000000,,,,,,
336,76850,1.0,1104.0,1 days 00:00:00.000000000,,,,,,
337,77179,3.0,23383.0,9 days 00:00:00.000000000,7.0,82708.0,28 days 00:00:00.000000000,,,28 days 00:00:00.000000000
338,77525,2.0,3768.0,1 days 00:00:00.000000000,,,,,,
339,77745,5.0,33755.0,1 days 00:00:00.000000000,3.0,31727.0,,5.0,51006.0,
340,77837,1.0,10331.0,,,,,,,
341,77935,1.0,1949.0,1 days 00:00:00.000000000,,,,1.0,2014.0,
342,78264,1.0,3509.0,,,,,,,
343,78454,2.0,4046.0,,,,,,,
344,78626,1.0,3444.0,1 days 00:00:00.000000000,,,,,,
345,78628,1.0,2206.0,1 days 00:00:00.000000000,,,,,,
346,78645,1.0,2469.0,,,,,,,
347,78646,1.0,2903.0,1 days 00:00:00.000000000,,,,,,
348,78900,1.0,2133.0,1 days 00:00:00.000000000,,,,,,
349,78914,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
350,79348,1.0,2989.0,1 days 00:00:00.000000000,,,,,,
351,79360,1.0,2209.0,1 days 00:00:00.000000000,,,,1.0,2664.0,
352,80607,1.0,1819.0,1 days 00:00:00.000000000,,,,,,
353,80621,1.0,3169.0,,,,,,,
354,81480,1.0,2079.0,,,,,,,
355,81637,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
356,81672,1.0,2404.0,,,,,,,
357,81709,1.0,2192.0,,,,,,,
358,81775,3.0,7147.0,1 days 00:00:00.000000000,,,,1.0,2674.0,
359,82240,1.0,10397.0,,,,,,,
360,82622,1.0,2729.0,1 days 00:00:00.000000000,,,,,,
361,82702,2.0,11434.0,2 days 00:00:00.000000000,,,,,,
362,82881,1.0,6627.0,2 days 00:00:00.000000000,,,,2.0,21052.0,
363,83467,1.0,2274.0,1 days 00:00:00.000000000,,,,,,
364,83686,1.0,2404.0,1 days 00:00:00.000000000,,,,1.0,1949.0,
365,83735,1.0,2079.0,1 days 00:00:00.000000000,1.0,2209.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
366,83841,2.0,13095.0,2 days 00:00:00.000000000,,,,,,
367,83896,1.0,5849.0,1 days 00:00:00.000000000,1.0,5132.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
368,84259,1.0,3379.0,1 days 00:00:00.000000000,,,,,,
369,85307,1.0,5719.0,,,,,,,
370,85351,1.0,3684.0,2 days 00:00:00.000000000,,,,,,
371,85376,1.0,2729.0,1 days 00:00:00.000000000,,,,3.0,5002.0,
372,85412,1.0,2231.0,,2.0,4487.0,2 days 00:00:00.000000000,1.0,1888.0,2 days 00:00:00.000000000
373,85555,1.0,22870.0,,1.0,11710.0,4 days 00:00:00.000000000,,,4 days 00:00:00.000000000
374,85562,1.0,2664.0,1 days 00:00:00.000000000,,,,,,
375,85715,1.0,4399.0,,,,,,,
376,85876,1.0,25644.0,14 days 00:00:00.000000000,,,,,,
377,86098,1.0,2599.0,1 days 00:00:00.000000000,,,,1.0,3444.0,
378,86311,1.0,3199.0,1 days 00:00:00.000000000,,,,,,
379,86742,1.0,3962.0,2 days 00:00:00.000000000,,,,,,
380,87218,1.0,83538.0,,,,,,,
